order_purchase_timestamp,total_rev_order,smoothed_order_value
2016-10-07,2017.45,1132.7985714285714
2016-10-08,1119.65,1285.9171428571428
2016-10-09,369.51,1323.0842857142857
2016-10-10,882.88,1417.7999999999997
2016-10-11,,1413.149031198686
2016-10-12,,1408.4980623973725
2016-10-13,,1403.8470935960588
2016-10-14,,1399.1961247947452
2016-10-15,,1394.5451559934315
2016-10-16,,1389.894187192118
2016-10-17,,1385.2432183908043
2016-10-18,,1380.5922495894906
2016-10-19,,1375.941280788177
2016-10-20,,1371.2903119868636
2016-10-21,,1366.63934318555
2016-10-22,,1361.9883743842363
2016-10-23,,1357.3374055829227
2016-10-24,,1352.686436781609
2016-10-25,,1348.0354679802954
2016-10-26,,1343.3844991789817
2016-10-27,,1338.733530377668
2016-10-28,,1334.0825615763545
2016-10-29,,1329.4315927750408
2016-10-30,,1324.7806239737272
2016-10-31,,1320.1296551724135
2016-11-01,,1315.4786863711
2016-11-02,,1310.8277175697863
2016-11-03,,1306.1767487684726
2016-11-04,,1301.525779967159
2016-11-05,,1296.8748111658454
2016-11-06,,1292.2238423645317
2016-11-07,,1287.572873563218
2016-11-08,,1282.9219047619044
2016-11-09,,1278.270935960591
2016-11-10,,1273.6199671592774
2016-11-11,,1268.9689983579638
2016-11-12,,1264.3180295566501
2016-11-13,,1259.6670607553365
2016-11-14,,1255.0160919540228
2016-11-15,,1250.3651231527092
2016-11-16,,1245.7141543513956
2016-11-17,,1241.063185550082
2016-11-18,,1236.4122167487683
2016-11-19,,1231.7612479474546
2016-11-20,,1227.110279146141
2016-11-21,,1222.4593103448274
2016-11-22,,1217.8083415435137
2016-11-23,,1213.1573727422
2016-11-24,,1208.5064039408865
2016-11-25,,1203.8554351395728
2016-11-26,,1199.2044663382592
2016-11-27,,1194.5534975369455
2016-11-28,,1189.902528735632
2016-11-29,,1185.2515599343185
2016-11-30,,1180.6005911330049
2016-12-01,,1175.9496223316912
2016-12-02,,1171.2986535303776
2016-12-03,,1166.647684729064
2016-12-04,,1161.9967159277503
2016-12-05,,1157.3457471264367
2016-12-06,,1152.694778325123
2016-12-07,,1148.0438095238094
2016-12-08,,1143.3928407224957
2016-12-09,,1138.741871921182
2016-12-10,,1134.0909031198685
2016-12-11,,1129.4399343185548
2016-12-12,,1124.7889655172412
2016-12-13,,1120.1379967159276
2016-12-14,,1115.487027914614
2016-12-15,,1110.8360591133003
2016-12-16,,1106.1850903119866
2016-12-17,,1101.534121510673
2016-12-18,,1096.8831527093596
2016-12-19,,1092.232183908046
2016-12-20,,1087.5812151067323
2016-12-21,,1082.9302463054187
2016-12-22,,1078.279277504105
2016-12-23,,1073.6283087027914
2016-12-24,,1068.9773399014778
2016-12-25,,1064.3263711001641
2016-12-26,,1059.6754022988505
2016-12-27,,1055.0244334975368
2016-12-28,,1050.3734646962232
2016-12-29,,1045.7224958949096
2016-12-30,,1041.071527093596
2016-12-31,,1036.4205582922823
2017-01-01,,1031.7695894909687
2017-01-02,,1027.118620689655
2017-01-03,,1022.4676518883415
2017-01-04,,1017.8166830870279
2017-01-05,24.42,1013.1657142857142
2017-01-06,21.450000000000003,917.09
2017-01-07,47.83,640.4557142857142
2017-01-08,141.37,372.4442857142857
2017-01-09,151.37,234.11857142857136
2017-01-10,,219.13999999999993
2017-01-11,159.81,204.16142857142853
2017-01-12,609.94,165.16999999999993
2017-01-13,353.54,212.1871428571428
2017-01-14,482.42,278.03999999999996
2017-01-15,292.94000000000005,313.0557142857142
2017-01-16,475.12000000000006,360.7342857142857
2017-01-17,1182.96,508.1042857142857
2017-01-18,787.99,597.8442857142857
2017-01-19,1105.72,668.67
2017-01-20,1211.76,791.2728571428571
2017-01-21,468.96000000000004,789.35
2017-01-22,865.97,871.2114285714285
2017-01-23,1105.97,961.3328571428572
2017-01-24,1880.6000000000001,1060.9957142857143
2017-01-25,1464.68,1157.6657142857143
2017-01-26,2922.01,1417.1357142857144
2017-01-27,2511.05,1602.7485714285717
2017-01-28,991.98,1677.4657142857143
2017-01-29,1090.8,1709.5842857142857
2017-01-30,2725.64,1940.9657142857145
2017-01-31,2382.7200000000003,2012.697142857143
2017-02-01,2405.64,2147.12
2017-02-02,1230.68,1905.5014285714285
2017-02-03,1618.07,1777.932857142857
2017-02-04,2073.87,1932.4885714285715
2017-02-05,2433.74,2124.337142857143
2017-02-06,2361.48,2072.3142857142857
2017-02-07,3327.61,2207.2985714285714
2017-02-08,2328.62,2196.2957142857144
2017-02-09,2193.95,2333.905714285714
2017-02-10,1426.94,2306.6014285714286
2017-02-11,1261.3,2190.52
2017-02-12,1348.98,2035.5542857142857
2017-02-13,1546.1100000000001,1919.0728571428572
2017-02-14,2683.36,1827.0371428571427
2017-02-15,2503.14,1851.9685714285715
2017-02-16,1639.04,1772.695714285714
2017-02-17,1227.74,1744.2385714285715
2017-02-18,2259.41,1886.8257142857142
2017-02-19,1717.86,1939.5228571428572
2017-02-20,2228.38,2036.99
2017-02-21,945.32,1788.6985714285713
2017-02-22,1717.76,1676.5014285714283
2017-02-23,2314.51,1772.9971428571428
2017-02-24,1668.31,1835.9357142857145
2017-02-25,2212.61,1829.25
2017-02-26,1877.5700000000002,1852.0657142857144
2017-02-27,1417.07,1736.1642857142858
2017-02-28,1263.71,1781.6485714285714
2017-03-01,4288.49,2148.8957142857143
2017-03-02,1626.58,2050.62
2017-03-03,2341.27,2146.7571428571428
2017-03-04,2174.12,2141.2585714285715
2017-03-05,1694.07,2115.0442857142857
2017-03-06,3269.53,2379.6814285714286
